trade_date,code,name,day_chg_pct,day_amount_yi,market_cap_yi,next_trade_date,next_day_chg_pct
2026-03-03,601898,中煤能源,5.7402,26.0959,2287.1194,2026-03-04,-1.7143
2026-03-03,605090,九丰能源,5.7986,29.4777,275.1402,2026-03-04,-5.5769
2026-03-03,688390,固德威,7.8171,2262.6398,234.4335,2026-03-04,-0.6610
2026-03-03,600989,宝丰能源,8.3207,92.5184,2130.3411,2026-03-04,-5.4718
2026-03-03,600188,兖矿能源,8.7533,39.4987,1950.2825,2026-03-04,-4.8780
2026-03-03,301500,飞南资源,9.3577,14.6431,108.8501,2026-03-04,5.0175
2026-03-03,600956,新天绿能,9.7100,5.3563,390.7992,2026-03-04,-5.7471
2026-03-03,600428,中远海特,9.7993,20.4599,249.6968,2026-03-04,-10.0000
2026-03-03,600871,石化油服,9.9150,1.7785,542.1715,2026-03-04,10.0515
2026-03-03,600583,海油工程,9.9622,33.9292,289.5987,2026-03-04,-6.3073
2026-03-03,601022,宁波远洋,9.9804,8.7934,118.3005,2026-03-04,-8.8078
2026-03-03,600688,上海石化,10.0287,21.1547,305.7359,2026-03-04,-6.2500
2026-03-03,002911,佛燃能源,10.0310,6.6693,188.3970,2026-03-04,-10.0169
2026-03-03,000301,东方盛虹,10.0377,12.7330,704.7572,2026-03-04,-5.9671
2026-03-03,601857,中国石油,10.0418,120.6470,22511.5803,2026-03-04,0.6844
2026-03-03,600256,广汇能源,10.0464,69.9202,430.8210,2026-03-04,-3.3708
2026-03-03,600403,大有能源,10.0559,12.5776,140.8189,2026-03-04,-7.8680
2026-03-04,301500,飞南资源,5.0175,12.2969,108.8501,2026-03-05,-6.6667
2026-03-04,300766,每日互动,5.0195,17.7376,144.7942,2026-03-05,-2.8538
2026-03-04,600435,北方导航,5.0790,23.2156,222.7703,2026-03-05,-1.1278
2026-03-04,002121,科陆电子,5.1366,12.3697,131.3706,2026-03-05,0.3119
2026-03-04,300323,华灿光电,5.1724,4.1655,155.6456,2026-03-05,20.0234
2026-03-04,600595,中孚实业,5.3241,16.3934,290.9739,2026-03-05,0.8791
2026-03-04,002842,翔鹭钨业,5.4258,34.7485,106.1020,2026-03-05,-9.1857
2026-03-04,300782,卓胜微,5.5128,17.1242,435.3368,2026-03-05,0.5711
2026-03-04,300900,广联航空,5.5171,12.6004,125.8774,2026-03-05,0.2627
2026-03-04,000949,新乡化纤,5.6851,7.4225,107.2014,2026-03-05,-1.9310
2026-03-04,600482,中国动力,5.7319,19.0756,716.5390,2026-03-05,4.0222
2026-03-04,002897,意华股份,5.7407,19.3779,112.8773,2026-03-05,1.8681
2026-03-04,688766,普冉股份,6.1895,1896.4762,331.6152,2026-03-05,2.2578
2026-03-04,000902,新洋丰,6.2570,6.8809,196.9932,2026-03-05,-3.2072
2026-03-04,001896,豫能控股,7.3795,36.6978,219.4074,2026-03-05,1.2623
2026-03-04,688543,国科军工,7.6190,1845.2413,139.7780,2026-03-05,-1.1153
2026-03-04,600550,保变电气,7.7399,36.7572,277.7025,2026-03-05,9.3678
2026-03-04,600219,南山铝业,7.7778,43.1468,708.5444,2026-03-05,0.0000
2026-03-04,002378,章源钨业,8.0471,70.5656,374.9625,2026-03-05,-7.0698
2026-03-04,002246,北化股份,9.6407,21.7110,137.6979,2026-03-05,-1.2028
2026-03-04,601096,宏盛华源,9.9825,10.3385,150.8787,2026-03-05,3.9809
2026-03-04,603530,神马电力,10.0000,10.4262,242.8657,2026-03-05,6.3532
2026-03-04,603175,超颖电子,10.0000,5.0360,342.6310,2026-03-05,-0.8162
2026-03-04,002498,汉缆股份,10.0135,18.8890,287.4352,2026-03-05,9.9631
2026-03-04,002389,航天彩虹,10.0191,41.1346,217.3710,2026-03-05,1.8422
2026-03-04,600236,桂冠电力,10.0406,4.6074,738.5788,2026-03-05,7.0968
2026-03-04,600871,石化油服,10.0515,53.4016,542.1715,2026-03-05,-6.5574
2026-03-04,600821,金开新能,10.0699,22.8323,179.4200,2026-03-05,-0.6353
2026-03-04,688578,艾力斯,11.1667,1404.2458,439.0650,2026-03-05,-3.6082
2026-03-04,301308,江波龙,14.8688,81.0683,1232.2033,2026-03-05,-1.8842
2026-03-05,000100,TCL科技,5.0633,39.4544,890.2769,2026-03-06,-2.8112
2026-03-05,603011,合锻智能,5.2571,15.9946,102.5910,2026-03-06,-2.2968
2026-03-05,002217,合力泰,5.3763,5.3763,177.2618,2026-03-06,-8.1633
2026-03-05,000050,深天马A,5.4348,4.8198,195.8825,2026-03-06,-3.1959
2026-03-05,300776,帝尔激光,5.4635,9.4686,201.3374,2026-03-06,-4.7155
2026-03-05,000534,万泽股份,5.5165,10.4690,179.9216,2026-03-06,10.0027
2026-03-05,600707,彩虹股份,5.6250,4.3067,202.0263,2026-03-06,-4.1420
2026-03-05,000338,潍柴动力,5.6397,43.8102,2097.9452,2026-03-06,0.8957
2026-03-05,688802,沐曦股份,5.6598,1124.9724,2396.5990,2026-03-06,-0.6626
2026-03-05,688585,上纬新材,5.7985,412.1846,466.4475,2026-03-06,8.2739
2026-03-05,600686,金龙汽车,5.8240,3.3709,131.6499,2026-03-06,-0.7026
2026-03-05,600835,上海机电,5.8922,4.9481,226.2299,2026-03-06,-0.7893
2026-03-05,600021,上海电力,6.1293,29.2573,519.1072,2026-03-06,-1.0914
2026-03-05,002979,雷赛智能,6.1983,3.0762,111.5200,2026-03-06,-1.6861
2026-03-05,002366,融发核电,6.2176,14.3861,154.8218,2026-03-06,-1.4634
2026-03-05,300088,长信科技,6.3091,12.5883,147.3663,2026-03-06,-1.4837
2026-03-05,600452,涪陵电力,6.3142,19.6717,174.3975,2026-03-06,7.3895
2026-03-05,603530,神马电力,6.3532,16.5937,242.8657,2026-03-06,-0.3917
2026-03-05,000400,许继电气,6.6625,32.1231,279.3062,2026-03-06,-0.4440
2026-03-05,002353,杰瑞股份,6.7468,34.3406,990.5805,2026-03-06,-0.7374
2026-03-05,002126,银轮股份,7.0340,17.3883,354.7751,2026-03-06,5.9087
2026-03-05,300201,海伦哲,7.0346,7.7702,108.8758,2026-03-06,2.5278
2026-03-05,600236,桂冠电力,7.0968,9.1007,738.5788,2026-03-06,-5.7659
2026-03-05,601126,四方股份,7.5639,18.5910,360.4291,2026-03-06,1.4562
2026-03-05,600172,黄河旋风,7.6087,28.7703,113.4999,2026-03-06,-3.4343
2026-03-05,002756,永兴材料,7.9340,18.5267,407.4529,2026-03-06,0.2620
2026-03-05,002046,国机精工,7.9677,17.9000,236.5674,2026-03-06,-0.2108
2026-03-05,300520,科大国创,8.0825,21.5289,102.1817,2026-03-06,-2.9194
2026-03-05,600312,平高电气,8.0927,20.4540,276.2692,2026-03-06,1.2546
2026-03-05,600775,南京熊猫,8.2596,15.3691,122.5457,2026-03-06,1.1580
2026-03-05,688125,安达智能,8.7145,300.5248,173.9436,2026-03-06,0.3865
2026-03-05,600550,保变电气,9.3678,52.0866,277.7025,2026-03-06,-1.6816
2026-03-05,600666,奥瑞德,9.9448,5.9357,158.7585,2026-03-06,1.0050
2026-03-05,002498,汉缆股份,9.9631,5.7628,287.4352,2026-03-06,9.9553
2026-03-05,002796,世嘉科技,9.9981,11.5011,114.8270,2026-03-06,4.3266
2026-03-05,000703,恒逸石化,10.0000,11.2578,433.3954,2026-03-06,-1.0695
2026-03-05,002456,欧菲光,10.0112,15.2152,291.1399,2026-03-06,-2.4540
2026-03-05,000555,神州信息,10.0122,7.0858,150.3668,2026-03-06,1.7203
2026-03-05,300102,乾照光电,11.3225,42.9976,301.9615,2026-03-06,-4.3124
2026-03-05,300296,利亚德,12.4231,49.1222,195.5336,2026-03-06,-6.4551
2026-03-05,688001,华兴源创,14.7459,441.2758,135.9694,2026-03-06,-4.8915
2026-03-05,300323,华灿光电,20.0234,5.5954,155.6456,2026-03-06,16.4878
2026-03-06,002157,正邦科技,5.0633,10.3188,282.1300,2026-03-09,0.9036
2026-03-06,603363,傲农生物,5.0725,5.3739,101.7758,2026-03-09,1.3793
2026-03-06,000581,威孚高科,5.0833,10.7485,197.2243,2026-03-09,-1.4671
2026-03-06,000061,农产品,5.0905,2.1087,146.4901,2026-03-09,-1.3994
2026-03-06,000035,中国天楹,5.1075,21.9817,163.1026,2026-03-09,-1.0230
2026-03-06,300304,云意电气,5.1211,6.4926,113.8074,2026-03-09,-3.1600
2026-03-06,301127,武汉天源,5.1810,2.4518,105.2225,2026-03-09,0.7715
2026-03-06,301090,华润材料,5.2069,1.5552,112.4961,2026-03-09,2.2843
2026-03-06,300376,易事特,5.2270,5.6019,144.8166,2026-03-09,5.7516
2026-03-06,300085,银之杰,5.2850,11.7736,268.4527,2026-03-09,0.8147
2026-03-06,600989,宝丰能源,5.2961,62.2644,2130.3411,2026-03-09,7.0206
2026-03-06,688691,灿芯股份,5.3245,691.9609,107.3160,2026-03-09,-5.1738
2026-03-06,300766,每日互动,5.4932,19.8355,144.7942,2026-03-09,-1.2452
2026-03-06,688068,热景生物,5.5367,392.8962,114.1420,2026-03-09,-1.1194
2026-03-06,688266,泽璟制药,5.7408,370.4242,263.3052,2026-03-09,-2.6050
2026-03-06,688195,腾景科技,5.8651,2228.3193,343.4113,2026-03-09,-4.8118
2026-03-06,002126,银轮股份,5.9087,22.0190,354.7751,2026-03-09,-4.1981
2026-03-06,002588,史丹利,5.9546,3.5990,119.3360,2026-03-09,-0.4460
2026-03-06,600873,梅花生物,5.9928,9.3627,322.7682,2026-03-09,-0.0844
2026-03-06,002993,奥海科技,6.0379,3.0866,127.8893,2026-03-09,-5.3824
2026-03-06,688712,北芯生命,6.1219,202.5973,159.2940,2026-03-09,-2.6837
2026-03-06,300773,拉卡拉,6.6106,22.5712,180.6523,2026-03-09,5.6631
2026-03-06,002408,齐翔腾达,6.6890,5.9032,168.5811,2026-03-09,-0.7837
2026-03-06,002378,章源钨业,6.9378,62.3461,374.9625,2026-03-09,0.4698
2026-03-06,600389,江山股份,7.2056,7.0745,124.1995,2026-03-09,-3.7049
2026-03-06,600452,涪陵电力,7.3895,17.5268,174.3975,2026-03-09,4.9518
2026-03-06,688172,燕东微,7.4804,861.8388,547.3488,2026-03-09,-2.2362
2026-03-06,000930,中粮科技,7.6246,6.7204,125.4955,2026-03-09,2.7248
2026-03-06,002422,科伦药业,7.9260,7.9608,555.1637,2026-03-09,-2.3868
2026-03-06,688585,上纬新材,8.2739,882.2418,466.4475,2026-03-09,-3.7354
2026-03-06,002364,中恒电气,8.6533,29.6602,148.7811,2026-03-09,-1.5143
2026-03-06,601868,中国能建,9.8859,58.5894,1217.3820,2026-03-09,1.7301
2026-03-06,002498,汉缆股份,9.9553,32.6141,287.4352,2026-03-09,1.3225
2026-03-06,001896,豫能控股,9.9723,37.5418,219.4074,2026-03-09,0.4408
2026-03-06,600821,金开新能,9.9744,11.1259,179.4200,2026-03-09,10.0000
2026-03-06,000833,粤桂股份,9.9875,17.0076,207.0174,2026-03-09,1.2918
2026-03-06,000534,万泽股份,10.0027,8.4566,179.9216,2026-03-09,9.9903
2026-03-06,600482,中国动力,10.0028,18.3790,716.5390,2026-03-09,-4.0754
2026-03-06,301392,汇成真空,10.0476,7.4470,106.8700,2026-03-09,4.9329
2026-03-06,300641,正丹股份,10.8814,5.8539,105.7922,2026-03-09,-2.5025
2026-03-06,301150,中一科技,14.6984,11.2415,129.1880,2026-03-09,-2.7806
2026-03-06,300323,华灿光电,16.4878,41.7038,155.6456,2026-03-09,-1.9263
2026-03-09,601898,中煤能源,5.0202,21.2913,2287.1194,2026-03-10,-7.6923
2026-03-09,600406,国电南瑞,5.0317,66.9884,2103.5169,2026-03-10,-2.2843
2026-03-09,601857,中国石油,5.0407,105.6139,22511.5803,2026-03-10,-7.1981
2026-03-09,600188,兖矿能源,5.1867,31.7890,1950.2825,2026-03-10,-3.9448
2026-03-09,601096,宏盛华源,5.2161,12.3697,150.8787,2026-03-10,-0.7082
2026-03-09,688063,派能科技,5.2405,1306.1538,185.7615,2026-03-10,-1.6222
2026-03-09,300773,拉卡拉,5.6631,44.9900,180.6523,2026-03-10,-1.1872
2026-03-09,300376,易事特,5.7516,9.4068,144.8166,2026-03-10,-2.2250
2026-03-09,601118,海南橡胶,5.7873,13.7123,270.8878,2026-03-10,-0.5089
2026-03-09,600546,山煤国际,5.8020,14.8288,220.2509,2026-03-10,-3.8710
2026-03-09,600673,东阳光,5.8201,83.8614,912.4971,2026-03-10,-2.7250
2026-03-09,002881,美格智能,5.9002,10.1444,114.7021,2026-03-10,0.2857
2026-03-09,688327,云从科技,5.9621,772.3439,132.5188,2026-03-10,0.3197
2026-03-09,300383,光环新网,6.2500,30.4927,309.7252,2026-03-10,2.9096
2026-03-09,300779,惠城环保,6.7638,14.7954,185.0596,2026-03-10,0.1949
2026-03-09,001337,四川黄金,6.8384,23.9540,208.3200,2026-03-10,-6.1726
2026-03-09,600989,宝丰能源,7.0206,97.0695,2130.3411,2026-03-10,-5.5157
2026-03-09,002151,北斗星通,7.2214,39.4383,207.3377,2026-03-10,-1.1820
2026-03-09,600589,大位科技,7.5905,47.3168,161.6806,2026-03-10,0.4102
2026-03-09,688390,固德威,7.6759,1630.9085,234.4335,2026-03-10,-3.7723
2026-03-09,002053,云南能投,7.7879,5.6745,115.4595,2026-03-10,-3.4589
2026-03-09,301308,江波龙,7.8824,81.0428,1232.2033,2026-03-10,1.0269
2026-03-09,600602,云赛智联,9.9802,27.0610,319.3518,2026-03-10,5.0764
2026-03-09,000534,万泽股份,9.9903,19.7939,179.9216,2026-03-10,5.0485
2026-03-09,600821,金开新能,10.0000,7.6031,179.4200,2026-03-10,2.1142
2026-03-09,000066,中国长城,10.0064,38.7853,477.7408,2026-03-10,-1.4484
2026-03-09,002082,万邦德,10.0236,4.9329,177.8792,2026-03-10,4.8767
2026-03-09,300017,网宿科技,12.2129,125.5292,418.1065,2026-03-10,1.7973
2026-03-09,300257,开山股份,13.0830,8.2346,277.7210,2026-03-10,19.9930
2026-03-09,300846,首都在线,14.2467,53.6683,141.6658,2026-03-10,0.5052
2026-03-09,300170,汉得信息,17.7661,70.1551,197.0854,2026-03-10,-0.7468
2026-03-10,688183,生益电子,5.0006,906.9371,698.2307,2026-03-11,-0.9254
2026-03-10,000035,中国天楹,5.0388,19.4820,163.1026,2026-03-11,2.0910
2026-03-10,000534,万泽股份,5.0485,17.9147,179.9216,2026-03-11,-2.6233
2026-03-10,301486,致尚科技,5.0661,12.7966,191.1170,2026-03-11,-1.7500
2026-03-10,600602,云赛智联,5.0764,55.5364,319.3518,2026-03-11,-2.7362
2026-03-10,002782,可立克,5.1447,5.5683,105.3428,2026-03-11,10.0153
