date,side,code,name,price,shares,gross,cost,cash_after,reason,entry_date,entry_price,realized_return_pct,signal_date
2026-06-01,BUY,300620.SZ,光库科技,275.99,365.211764,100794.7947,151.1922,214265.2773,top_score,,,,2026-05-29
2026-06-02,SELL,688008.SH,澜起科技,236.04,583.919442,137828.3452,206.7425,351886.88,below_ma20,2026-04-29,171.0,38.0351,2026-06-01
2026-06-02,SELL,000988.SZ,华工科技,144.8,644.135354,93270.7993,139.9062,445017.773,below_ma20,2026-05-26,171.94,-15.7846,2026-06-01
2026-06-02,SELL,688498.SH,源杰科技,1089.36,98.093899,106859.5695,160.2894,551717.0532,below_ma20,2026-05-28,1110.0,-1.8595,2026-06-01
2026-06-02,BUY,603296.SH,华勤技术,121.68,861.73584,104856.0171,157.284,446703.7521,top_score,,,,2026-06-01
2026-06-08,SELL,002409.SZ,雅克科技,107.66,813.340743,87564.2644,131.3464,534136.6701,rank_decay,2026-05-26,125.54,-14.2425,2026-06-05
2026-06-08,SELL,603296.SH,华勤技术,100.96,861.73584,87000.8504,130.5013,621007.0193,below_ma20,2026-06-02,121.68,-17.0283,2026-06-05
2026-06-08,BUY,600378.SH,昊华科技,45.5,2267.435098,103168.2969,154.7524,517683.9699,top_score,,,,2026-06-05
2026-06-08,BUY,600522.SH,中天科技,44.0,2344.734021,103168.2969,154.7524,414360.9205,top_score,,,,2026-06-05
2026-06-08,BUY,002138.SZ,顺络电子,54.0,1910.524017,103168.2969,154.7524,311037.8711,top_score,,,,2026-06-05
2026-06-09,SELL,002281.SZ,光迅科技,212.68,361.552324,76894.9483,115.3424,387817.477,below_ma20,2026-05-20,229.01,-7.1307,2026-06-08
2026-06-09,SELL,600378.SH,昊华科技,50.6,2267.435098,114732.2159,172.0983,502377.5946,risk_flag,2026-06-08,45.5,11.2088,2026-06-08
2026-06-09,BUY,688519.SH,南亚新材,264.0,420.472134,111004.6435,166.507,391206.4442,top_score,,,,2026-06-08
2026-06-10,BUY,600105.SH,永鼎股份,55.7,1988.447935,110756.55,166.1348,280283.7594,top_score,,,,2026-06-09
2026-06-10,BUY,301205.SZ,联特科技,350.06,316.393047,110756.55,166.1348,169361.0746,top_score,,,,2026-06-09
2026-06-11,BUY,300666.SZ,江丰电子,255.13,426.158166,108725.7329,163.0886,60472.253,top_score,,,,2026-06-10
2026-06-15,SELL,300620.SZ,光库科技,292.5,365.211764,106824.4409,160.2367,167136.4572,below_ma20,2026-06-01,275.99,5.9821,2026-06-12
2026-06-15,BUY,688772.SH,珠海冠宇,18.85,5963.224781,112406.7871,168.6102,54561.0599,top_score,,,,2026-06-12
2026-06-16,BUY,688498.SH,源杰科技,1460.0,37.314617,54479.3409,81.719,0.0,top_score,,,,2026-06-15
2026-06-18,SELL,600105.SH,永鼎股份,61.83,1988.447935,122945.7358,184.4186,122761.3172,risk_flag,2026-06-10,55.7,11.0054,2026-06-17
2026-06-18,BUY,002281.SZ,光迅科技,241.99,497.899711,120486.7511,180.7301,2093.836,top_score,,,,2026-06-17
