date,phase,cash,position_value,total_value,positions,signal_report_date
2026-04-28,signal_close,1000000.0,0.0,1000000.0,0,2026-04-28
2026-04-29,after_trade,650000.0,354893.1334,1004893.1334,7,2026-04-28
2026-04-29,signal_close,650000.0,354893.1334,1004893.1334,7,2026-04-29
2026-04-30,after_trade,500328.8217,499665.1178,999993.9395,10,2026-04-29
2026-04-30,signal_close,500328.8217,499665.1178,999993.9395,10,2026-04-30
2026-05-06,after_trade,236605.1461,826812.2859,1063417.432,15,2026-04-30
2026-05-07,signal_close,236605.1461,860889.2718,1097494.4179,15,2026-05-07
2026-05-08,after_trade,180732.8152,940559.3751,1121292.1903,16,2026-05-07
2026-05-08,signal_close,180732.8152,940559.3751,1121292.1903,16,2026-05-09
2026-05-11,after_trade,251937.2906,913839.0729,1165776.3636,15,2026-05-09
2026-05-11,signal_close,251937.2906,913839.0729,1165776.3636,15,2026-05-11
2026-05-12,after_trade,251937.2906,898836.5322,1150773.8228,15,2026-05-11
2026-05-12,signal_close,251937.2906,898836.5322,1150773.8228,15,2026-05-12
2026-05-13,after_trade,185569.0511,998600.7984,1184169.8495,16,2026-05-12
2026-05-13,signal_close,185569.0511,998600.7984,1184169.8495,16,2026-05-13
2026-05-14,after_trade,378445.1828,795408.3637,1173853.5465,13,2026-05-13
2026-05-14,signal_close,378445.1828,795408.3637,1173853.5465,13,2026-05-14
2026-05-15,after_trade,377305.1292,767943.6815,1145248.8106,13,2026-05-14
2026-05-19,signal_close,377305.1292,759542.9129,1136848.0421,13,2026-05-19
2026-05-20,after_trade,364376.5718,791384.4867,1155761.0584,13,2026-05-19
2026-05-21,signal_close,364376.5718,743748.9968,1108125.5686,13,2026-05-21
2026-05-22,after_trade,519909.3296,611619.1116,1131528.4412,10,2026-05-21
2026-05-22,signal_close,519909.3296,611619.1116,1131528.4412,10,2026-05-22
2026-05-25,after_trade,349272.7952,791583.9013,1140856.6964,13,2026-05-22
2026-05-25,signal_close,349272.7952,791583.9013,1140856.6964,13,2026-05-25
2026-05-26,after_trade,398493.771,720741.3012,1119235.0721,12,2026-05-25
2026-05-27,signal_close,398493.771,698700.4384,1097194.2094,12,2026-05-27
2026-05-28,after_trade,396214.6992,718741.434,1114956.1332,12,2026-05-27
2026-05-29,signal_close,396214.6992,695590.0542,1091804.7534,12,2026-05-29
2026-06-01,after_trade,564273.6713,505192.7177,1069466.389,9,2026-05-29
2026-06-01,signal_close,564273.6713,505192.7177,1069466.389,9,2026-06-04
2026-06-02,after_trade,685303.8086,405001.8703,1090305.6789,7,2026-06-04
2026-06-05,signal_close,685303.8086,408313.8422,1093617.6509,7,2026-06-05
2026-06-08,after_trade,616322.3992,476944.0931,1093266.4923,8,2026-06-05
2026-06-08,signal_close,616322.3992,476944.0931,1093266.4923,8,2026-06-08
2026-06-09,after_trade,673358.1872,455288.0517,1128646.239,7,2026-06-08
2026-06-09,signal_close,673358.1872,455288.0517,1128646.239,7,2026-06-09
2026-06-10,after_trade,561296.8236,554997.1372,1116293.9608,9,2026-06-09
2026-06-10,signal_close,561296.8236,554997.1372,1116293.9608,9,2026-06-10
2026-06-11,after_trade,505804.1232,612061.1361,1117865.2593,10,2026-06-10
2026-06-11,signal_close,505804.1232,612061.1361,1117865.2593,10,2026-06-11
2026-06-12,after_trade,505804.1232,602350.1727,1108154.2959,10,2026-06-11
2026-06-12,signal_close,505804.1232,602350.1727,1108154.2959,10,2026-06-13
2026-06-15,after_trade,505708.4622,627171.6969,1132880.1591,10,2026-06-13
2026-06-15,signal_close,505708.4622,627171.6969,1132880.1591,10,2026-06-15
2026-06-16,after_trade,331540.8993,839060.7758,1170601.6751,13,2026-06-15
2026-06-16,signal_close,331540.8993,839060.7758,1170601.6751,13,2026-06-16
2026-06-17,after_trade,272742.2034,902638.0459,1175380.2493,14,2026-06-16
2026-06-17,signal_close,272742.2034,902638.0459,1175380.2493,14,2026-06-17
2026-06-18,after_trade,337906.3541,856708.0077,1194614.3618,13,2026-06-17
2026-06-18,signal_close,337906.3541,856708.0077,1194614.3618,13,2026-06-18
2026-06-19,after_trade,218444.9179,975990.5201,1194435.4381,15,2026-06-18
