as_of,watch_report_date,strong_report_date,code,name,pool_tags,research_report_covered,research_report_date,research_payload_covered,theme_bucket,totalMarketCap,floatMarketCap,todayAmount,turnoverRate,todayPct,peRatio,mainBusiness,industry,latest_kline_date,latest_close,ma5,ma10,ma20,close_to_ma20,ma20_slope_10d_pct,ma_alignment,ret5_pct,ret10_pct,ret20_pct,index_ret5_pct,index_ret10_pct,index_ret20_pct,rel_ret5_pct,rel_ret10_pct,rel_ret20_pct,high20_distance_pct,breakout_20d,close_position,upper_shadow_ratio_pct,close_gt_open,max_drawdown_20_pct,volatility_20_ann_pct,green_ratio_20,long_upper_count_20,large_down_count_20,q1_revenue_yoy_pct,q1_net_profit_yoy_pct,risk_flags,theme_candidate_count,theme_strength_count,theme_avg_ret10_pct,trend_relative_score_35,relative_score_10,quality_score_15,research_score_25,theme_score_20,entry_timing_score_5,risk_penalty,final_score_v0,base_close,fwd_ret_5d,fwd_max_drawdown_5d,fwd_date_5d,fwd_ret_10d,fwd_max_drawdown_10d,fwd_date_10d,fwd_ret_20d,fwd_max_drawdown_20d,fwd_date_20d
2026-04-28,2026-04-28,2026-04-28,002730.SZ,电光科技,watchlist,False,,True,算力,5333568278.4,5333568278.4,850576341.8,16.019344232643995,3.1051752921535947,163.70870958953,矿用防爆/算力电源配套,,2026-04-28,30.88,29.160000000000004,28.121000000000002,27.922500000000003,1.105918166353299,9.861898016997173,True,16.660370230449573,13.948339483394822,26.505530520278576,,,,,,,0.06480881399870686,True,0.7362204724409441,2.16968911917099,True,-11.86842997626314,57.72400012117489,0.6,2,0,,,,7,5,15.086165907716715,25.0,,13.0,7.0,18.0,4.0,0.0,67.0,30.88,9.812176165803098,2.8821243523316165,2026-05-08,6.897668393782386,2.8821243523316165,2026-05-14,3.6917098445595986,-3.7240932642486957,2026-05-28
2026-04-28,2026-04-28,2026-04-28,002281.SZ,光迅科技,watchlist,False,,True,CPO,64535107934.0,64535107934.0,8677521561.17,13.496481637417695,1.8435920309247678,106.6675057262,光模块/光器件/CPO,,2026-04-28,137.0,131.174,122.745,110.23400000000001,1.2428107480450676,21.76919593049589,True,12.488710074718767,22.980251346499102,55.50510783200908,,,,,,,-3.152834723596787,False,0.6196377502383217,2.9124087591240944,True,-6.6121515870922405,67.48751694460375,0.6,7,0,,,,8,5,8.484879421648532,21.0,,14.0,7.0,18.0,4.0,0.0,64.0,137.0,31.91240875912409,-3.014598540145985,2026-05-08,48.759124087591246,-3.014598540145985,2026-05-14,56.86131386861315,-3.014598540145985,2026-05-28
2026-04-28,2026-04-28,2026-04-28,688008.SH,澜起科技,research|watchlist,True,2026-06-09,True,芯片,184635625616.1,184635625616.1,12058490133.0,6.533685909897378,-2.5155820090965175,82.962367674928,内存接口芯片/服务器芯片,,2026-04-28,173.61,167.65,160.027,148.3625,1.1701744039093436,6.650061281777542,True,9.602272727272743,13.204225352112676,31.52272727272729,,,,,,,-3.870431893687698,False,0.4884353741496607,2.1657738609527044,True,-4.029733959311432,55.93721799874783,0.55,7,0,,,,1,1,13.204225352112676,21.0,,12.0,17.0,5.0,2.0,0.0,57.0,173.61,21.11629514428892,-2.1369736766315373,2026-05-08,52.68705719716604,-2.1369736766315373,2026-05-14,50.32544208282932,-2.1369736766315373,2026-05-28
2026-04-28,2026-04-28,2026-04-28,688498.SH,源杰科技,watchlist,False,,True,CPO,87967367333.97,87967367333.97,6396501403.0,7.207125576283717,1.7397743300423096,348.2534922507,高速光芯片/CPO,,2026-04-28,1442.67,1422.942,1394.5269999999998,1260.72,1.1443222920236056,16.790214493355116,True,3.1288869826292087,15.276190780589548,35.844632768361585,,,,,,,-3.564839572192513,False,0.39691683569979774,3.4602507850028124,False,-4.71705201325091,62.8367487951847,0.65,5,0,,,,8,5,8.484879421648532,21.0,,14.0,7.0,18.0,0.0,-5.0,55.0,1442.67,9.172575848946728,-24.860848288243332,2026-05-08,13.331531119382811,-24.860848288243332,2026-05-14,-20.828741153555562,-28.047301184609097,2026-05-28
2026-04-28,2026-04-28,2026-04-28,688041.SH,海光信息,watchlist,False,,True,算力,259573205309.0,259573205309.0,9314166158.0,3.540591953649288,-2.453842778546589,263.95383268319,国产CPU/DCU/算力芯片,,2026-04-28,289.0,278.57399999999996,267.21999999999997,246.4215,1.172787277084183,10.82943919979491,True,14.432785587012464,16.166894444891078,33.963750985027595,,,,,,,-5.245901639344264,False,0.21398002853067075,3.467128027681655,False,-3.525861410344555,48.345988440378385,0.55,9,0,,,,7,5,15.086165907716715,21.0,,12.0,7.0,18.0,0.0,-5.0,53.0,289.0,11.861591695501716,-3.5397923875432613,2026-05-08,12.525951557093418,-3.5397923875432613,2026-05-14,8.775086505190322,-3.5397923875432613,2026-05-28
2026-04-28,2026-04-28,2026-04-28,000977.SZ,浪潮信息,watchlist,False,,True,算力,70078404383.37,70078404383.37,4283745268.78,6.061088896222014,-3.1848004373974836,43.107320573888,AI服务器/算力基础设施,,2026-04-28,70.83,73.374,71.675,66.79749999999999,1.0603690257868934,10.694518096248128,False,-0.7566204287515865,4.177084865421388,24.92063492063492,,,,,,,-6.790367153572829,False,0.1710037174721168,0.08470986869970673,False,-5.370741482965924,48.6542384393874,0.55,2,0,,,,7,5,15.086165907716715,15.0,,13.0,7.0,18.0,0.0,0.0,53.0,70.83,7.9768459692220794,-1.5247776365946653,2026-05-08,1.0871099816461838,-1.5247776365946653,2026-05-14,-6.2402936608781605,-8.908654524918823,2026-05-28
2026-04-28,2026-04-28,2026-04-28,600522.SH,中天科技,watchlist,False,,True,光通信,92359111915.0,92359111915.0,9259501435.0,10.033716666232845,-2.1799888205701556,37.403539197279,海缆/光通信,,2026-04-28,35.0,34.576,32.021,30.922500000000003,1.1318619128466325,9.60761378136965,True,7.891491985203469,23.54394634662902,20.73128665056916,,,,,,,-4.188338352039422,False,0.4065040650406503,1.942857142857142,False,-11.46496815286624,67.66448882793853,0.55,4,1,,,,5,4,10.982134227541582,20.4552,,9.3,7.0,15.0,0.0,0.0,51.7552,35.0,16.85714285714286,-5.3714285714285825,2026-05-08,26.0,-5.3714285714285825,2026-05-14,15.771428571428569,-5.3714285714285825,2026-05-28
2026-04-28,2026-04-28,2026-04-28,603629.SH,利通电子,watchlist,False,,True,算力,16700982067.0,16700982067.0,746833580.0,4.471794393909877,9.999999999999986,58.583971709555,显示结构件/算力服务器,,2026-04-28,119.35,112.39000000000001,105.96599999999998,87.18900000000001,1.3688653385174734,33.56362689379433,True,17.946437394999503,49.280800500312694,85.41245922013358,,,,,,,0.27726432532346745,True,,0.0,False,-9.792014574161234,99.74859032413703,0.55,4,3,,,,7,5,15.086165907716715,25.0,,6.0,7.0,18.0,0.0,-5.0,51.0,119.35,40.41893590280687,10.004189359028071,2026-05-08,42.773355676581495,10.004189359028071,2026-05-14,84.35693338919145,10.004189359028071,2026-05-28
2026-04-28,2026-04-28,2026-04-28,600487.SH,亨通光电,watchlist,False,,True,CPO,119925516338.26001,119925516338.26001,12142025886.0,10.055360848859502,-4.328943681703546,52.164057275979,光通信/CPO/海缆,,2026-04-28,68.29,68.90200000000002,62.61199999999999,59.056,1.1563600650230292,16.550226958752702,False,14.197324414715728,29.656350863869374,26.81522748375116,,,,,,,-8.323264867767467,False,0.15561224489795952,2.342949187289492,False,-12.445414847161562,73.24400273204297,0.6,4,1,,,,8,5,8.484879421648532,14.0,,9.3,7.0,18.0,0.0,0.0,48.3,68.29,13.149802313662295,-3.7926489969248856,2026-05-08,8.361399912139401,-3.7926489969248856,2026-05-14,3.2069117001024994,-3.7926489969248856,2026-05-28
2026-04-28,2026-04-28,2026-04-28,301396.SZ,宏景科技,strong|watchlist,False,,True,算力,25276502836.74,25276502836.74,4767122526.65,19.374704688663392,7.2696507247302256,823.41754717124,算力/智算中心/数字化服务,,2026-04-28,335.99,327.854,302.0879999999999,243.21899999999997,1.3814299047360612,41.1773924854451,True,20.284251602047764,50.884677564217704,109.99375000000002,,,,,,,-3.6173264486517587,False,0.7515513126491653,3.0983064972171697,True,-9.455011993083072,137.20357651902887,0.55,5,1,,,,7,5,15.086165907716715,21.0,,6.3,7.0,18.0,5.0,-10.0,47.3,335.99,2.6816274293877784,-32.70633054555196,2026-05-08,-1.6994553409327762,-32.70633054555196,2026-05-14,-23.917378493407547,-32.70633054555196,2026-05-28
