date,phase,cash,position_value,total_value,positions,signal_report_date
2026-04-28,signal_close,1000000.0,0.0,1000000.0,0,2026-04-28
2026-04-29,after_trade,0.0,1020741.024,1020741.024,10,2026-04-28
2026-04-29,signal_close,0.0,1020741.024,1020741.024,10,2026-04-29
2026-04-30,after_trade,10511.7222,974730.6619,985242.3841,10,2026-04-29
2026-04-30,signal_close,10511.7222,974730.6619,985242.3841,10,2026-04-30
2026-05-06,after_trade,10511.7222,1084661.2304,1095172.9525,10,2026-04-30
2026-05-07,signal_close,10511.7222,1167759.7335,1178271.4557,10,2026-05-07
2026-05-08,after_trade,10511.7222,1185231.7865,1195743.5086,10,2026-05-07
2026-05-08,signal_close,10511.7222,1185231.7865,1195743.5086,10,2026-05-09
2026-05-11,after_trade,28371.3024,1208155.1925,1236526.4949,10,2026-05-09
2026-05-11,signal_close,28371.3024,1208155.1925,1236526.4949,10,2026-05-11
2026-05-12,after_trade,28371.3024,1192050.4301,1220421.7324,10,2026-05-11
2026-05-12,signal_close,28371.3024,1192050.4301,1220421.7324,10,2026-05-12
2026-05-13,after_trade,28371.3024,1242700.1334,1271071.4357,10,2026-05-12
2026-05-13,signal_close,28371.3024,1242700.1334,1271071.4357,10,2026-05-13
2026-05-14,after_trade,28371.3024,1208586.056,1236957.3584,10,2026-05-13
2026-05-14,signal_close,28371.3024,1208586.056,1236957.3584,10,2026-05-14
2026-05-15,after_trade,11418.8494,1169149.5305,1180568.3799,10,2026-05-14
2026-05-19,signal_close,11418.8494,1160998.9195,1172417.7689,10,2026-05-19
2026-05-20,after_trade,0.0,1199492.576,1199492.576,10,2026-05-19
2026-05-21,signal_close,0.0,1127577.0197,1127577.0197,10,2026-05-21
2026-05-22,after_trade,0.0,1177948.2664,1177948.2664,10,2026-05-21
2026-05-22,signal_close,0.0,1177948.2664,1177948.2664,10,2026-05-22
2026-05-25,after_trade,0.0,1197839.6804,1197839.6804,10,2026-05-22
2026-05-25,signal_close,0.0,1197839.6804,1197839.6804,10,2026-05-25
2026-05-26,after_trade,0.0,1156102.8488,1156102.8488,10,2026-05-25
2026-05-27,signal_close,0.0,1134769.0814,1134769.0814,10,2026-05-27
2026-05-28,after_trade,0.0,1168668.3241,1168668.3241,10,2026-05-27
2026-05-29,signal_close,0.0,1147034.7191,1147034.7191,10,2026-05-29
2026-06-01,after_trade,228487.3607,880609.6677,1109097.0284,8,2026-05-29
2026-06-01,signal_close,228487.3607,880609.6677,1109097.0284,8,2026-06-04
2026-06-02,after_trade,424766.1046,725084.6268,1149850.7314,6,2026-06-04
2026-06-05,signal_close,424766.1046,727556.7721,1152322.8768,6,2026-06-05
2026-06-08,after_trade,182100.3021,971864.1089,1153964.411,8,2026-06-05
2026-06-08,signal_close,182100.3021,971864.1089,1153964.411,8,2026-06-08
2026-06-09,after_trade,295183.5842,941097.1651,1236280.7493,7,2026-06-08
2026-06-09,signal_close,295183.5842,941097.1651,1236280.7493,7,2026-06-09
2026-06-10,after_trade,0.0,1215914.5256,1215914.5256,9,2026-06-09
2026-06-10,signal_close,0.0,1215914.5256,1215914.5256,9,2026-06-10
2026-06-11,after_trade,0.0,1214145.0598,1214145.0598,10,2026-06-10
2026-06-11,signal_close,0.0,1214145.0598,1214145.0598,10,2026-06-11
2026-06-12,after_trade,0.0,1195188.7276,1195188.7276,10,2026-06-11
2026-06-12,signal_close,0.0,1195188.7276,1195188.7276,10,2026-06-13
2026-06-15,after_trade,0.0,1254597.8628,1254597.8628,10,2026-06-13
2026-06-15,signal_close,0.0,1254597.8628,1254597.8628,10,2026-06-15
2026-06-16,after_trade,0.0,1316755.2061,1316755.2061,10,2026-06-15
2026-06-16,signal_close,0.0,1316755.2061,1316755.2061,10,2026-06-16
2026-06-17,after_trade,98858.1135,1232599.2098,1331457.3233,10,2026-06-16
2026-06-17,signal_close,98858.1135,1232599.2098,1331457.3233,10,2026-06-17
2026-06-18,after_trade,98940.1317,1260849.0222,1359789.1539,10,2026-06-17
2026-06-18,signal_close,98940.1317,1260849.0222,1359789.1539,10,2026-06-18
2026-06-19,after_trade,98940.1317,1260849.0222,1359789.1539,10,2026-06-18
